,XLV,XLI,XLU,XLK,AFTY,FAUS
4/25/16,67.741982,52.309631,42.248535,41.216183,11.578818,24.353247
4/26/16,67.486496,52.775528,42.310875,41.016979,11.688053,25.573874
4/27/16,67.410789,53.148228,42.925369,40.827263,11.651642,24.200666
4/28/16,67.089066,52.635754,42.863037,40.315018,11.633435,24.200666
4/29/16,66.038734,52.328266,43.121292,39.964046,11.615231,24.200666
5/2/16,66.417244,52.598492,43.468616,40.25811,11.615231,24.200666
5/3/16,66.209068,52.169872,43.432999,39.888161,11.651642,24.005703
5/4/16,65.575066,51.526939,43.94062,39.764835,11.597025,24.005703
5/5/16,65.84948,51.498993,43.771412,39.783813,11.578818,24.005703
5/6/16,65.461525,51.843758,43.486435,40.077881,11.35944,24.005703
5/9/16,66.209068,51.610802,43.73579,40.077881,11.069059,24.005703
5/10/16,66.767334,52.495991,43.780312,40.59959,11.242014,24.005703
5/11/16,65.963051,52.05806,43.94062,40.305531,11.196499,23.997229
5/12/16,65.575066,51.946251,44.198879,40.191704,11.242014,23.649687
5/13/16,65.423683,51.294006,43.985146,40.039928,11.242014,23.649687
5/16/16,66.313148,51.927601,44.038586,40.59959,11.232911,23.649687
5/17/16,65.622391,51.676029,43.290504,40.191704,11.132779,23.776836
5/18/16,65.896805,51.498993,42.480087,40.267593,11.050854,23.69207
5/19/16,65.338516,51.014477,42.907558,40.049412,11.114573,23.081757
5/20/16,65.944115,51.275372,43.005527,40.533192,11.214705,23.081757
5/23/16,65.679153,51.182186,42.622585,40.45731,11.187396,23.090229
5/24/16,66.62542,51.713299,43.050056,41.216183,11.150984,23.480156
5/25/16,67.041771,52.067375,42.925369,41.500755,11.032648,23.895512
5/26/16,67.051231,51.918293,43.41518,41.633556,11.105471,23.980276
5/27/16,67.353996,52.11396,43.486435,41.83276,11.096368,23.980276
5/31/16,67.514885,52.104649,43.771412,41.918129,11.587921,23.878553
6/1/16,67.760902,52.151234,43.88718,41.813797,11.587921,23.929417
6/2/16,68.631439,52.216461,43.904995,41.775841,11.460482,23.929417
6/3/16,68.40435,52.169872,44.59964,41.680988,11.460482,24.268476
6/6/16,68.773392,52.663708,44.537304,41.756882,11.524202,24.607544
6/7/16,68.34758,52.915291,44.501678,41.927616,11.496894,25.268719
6/8/16,68.584145,53.250725,44.768845,42.012993,11.442275,25.022896
6/9/16,68.470596,53.241405,45.151791,42.022476,11.379467,25.048323
6/10/16,67.921768,52.617119,45.036018,41.699951,11.160089,25.048323
6/13/16,67.382401,52.048744,44.982574,41.235157,11.059957,25.048323
6/14/16,67.486496,52.05806,45.223034,41.330009,11.140972,25.048323
6/15/16,67.022842,52.076691,44.938053,41.225662,11.205603,25.048323
6/16/16,67.259392,52.169872,45.223034,41.311047,11.271142,24.115902
6/17/16,66.561096,52.213898,45.386452,41.035557,11.241103,24.115902
6/20/16,66.979111,52.69173,45.215855,41.207134,11.269321,24.115902
6/21/16,66.751106,52.654243,45.278706,41.493095,11.269321,24.115902
6/22/16,66.941132,52.504349,45.063217,41.350117,11.351248,25.040499
6/23/16,67.815178,53.113342,45.188919,41.91251,11.319387,25.040499
6/24/16,65.848557,50.949085,45.260742,40.30159,11.133689,24.921743
6/27/16,64.965004,49.74984,45.81741,39.491371,11.032648,24.200726
6/28/16,66.2286,50.593056,45.98801,40.273003,11.114573,24.200726
6/29/16,67.492165,51.492489,46.113708,40.89259,11.304822,25.006569
6/30/16,68.1287,52.476242,47.110325,41.340588,11.251116,25.006569
7/1/16,68.556221,52.644882,47.119305,41.435913,11.269321,25.006569
7/5/16,68.489708,52.167057,47.469456,41.130882,11.369452,25.023533
7/6/16,69.259262,52.429398,47.568233,41.416851,11.651642,25.557934
7/7/16,69.154755,52.569927,46.688339,41.416851,11.630705,25.557934
7/8/16,70.009819,53.619267,47.173172,42.065025,11.67349,25.86331
7/11/16,69.819786,53.956562,47.13726,42.312859,11.67804,25.86331
7/12/16,70.161827,54.453114,46.490807,42.656013,11.99755,26.804871
7/13/16,70.133331,54.584274,46.858925,42.665543,11.952036,26.372257
7/14/16,70.437332,54.996529,46.553654,42.941971,11.907432,26.372257
7/15/16,70.380348,54.987144,46.688339,42.903851,11.906521,26.45709
7/18/16,70.408844,54.940304,46.823017,43.189808,11.915625,26.45709
7/19/16,70.256821,54.968414,46.742207,43.094482,11.842801,26.100821
7/20/16,70.893364,55.071472,46.472851,43.656883,11.924727,26.100821
7/21/16,71.102371,54.509335,46.751175,43.428112,11.933828,26.100821
7/22/16,71.244881,54.612396,47.370701,43.685478,11.888315,26.100821
7/25/16,71.1689,54.321953,47.28989,43.628288,11.833698,26.228058
7/26/16,71.04538,54.77166,46.876877,43.723606,11.961138,26.228058
7/27/16,71.368408,54.556175,46.338173,44.085827,11.933828,26.228058
7/28/16,71.301888,54.537434,46.517746,44.114418,11.924727,27.059347
7/29/16,71.444405,54.378166,46.79607,44.27647,11.942933,27.059347
8/1/16,71.900436,54.31258,46.823017,44.362255,11.824595,27.059347
8/2/16,71.624908,53.806641,46.517746,44.028633,11.897418,27.059347
8/3/16,71.425392,54.068989,46.23941,44.181137,11.897418,27.059347
8/4/16,71.320908,54.087719,46.212475,44.419453,11.906521,27.059347
8/5/16,71.49189,54.631119,45.548058,44.848389,11.897418,27.059347
8/8/16,70.883865,54.706081,45.530098,44.838856,11.952036,27.059347
8/9/16,71.054878,54.687344,45.521126,44.934174,12.036691,27.059347
8/10/16,70.817368,54.659233,45.530098,44.791199,12.052166,27.059347
8/11/16,71.225883,55.015263,45.637852,44.953255,12.134091,27.059347
8/12/16,71.04538,54.86536,45.700695,44.905586,12.28884,27.059347
8/15/16,71.1689,55.230751,45.00037,45.124821,12.716674,27.059347
